model,task,length,wall_time_batch,batch_size,wall_time_task
OmegaFold,Structure Prediction,14.0,2500.2494785785675,431.0,5.801042873732175
OmegaFold,Structure Prediction,15.0,1004.6593658924103,165.0,6.088844641772184
OmegaFold,Structure Prediction,16.0,1400.564143896103,239.0,5.860101020485787
OmegaFold,Structure Prediction,17.0,1363.951884508133,223.0,6.116376163713601
OmegaFold,Structure Prediction,18.0,1360.9483330249786,220.0,6.186128786477176
OmegaFold,Structure Prediction,19.0,1534.4743778705597,247.0,6.212446873969878
OmegaFold,Structure Prediction,20.0,1338.7717816829681,216.0,6.198017507791519
OmegaFold,Structure Prediction,21.0,1619.9522137641907,253.0,6.40297317693356
OmegaFold,Structure Prediction,22.0,1454.3811361789703,228.0,6.378864632363905
OmegaFold,Structure Prediction,23.0,1879.7260534763336,295.0,6.3719527236485884
OmegaFold,Structure Prediction,24.0,1239.0750439167023,197.0,6.289721035110164
OmegaFold,Structure Prediction,25.0,2048.333531856537,317.0,6.461619974310842
OmegaFold,Structure Prediction,26.0,1769.8508024215698,270.0,6.55500297193174
OmegaFold,Structure Prediction,27.0,2068.7579164505005,317.0,6.52605020962303
OmegaFold,Structure Prediction,28.0,1289.8665523529053,194.0,6.648796661612914
OmegaFold,Structure Prediction,29.0,1453.786947965622,223.0,6.519223981908619
OmegaFold,Structure Prediction,30.0,1607.6631915569305,243.0,6.615897907641689
OmegaFold,Structure Prediction,31.0,1712.1559400558472,257.0,6.66208536986711
OmegaFold,Structure Prediction,32.0,1194.4197454452515,181.0,6.5990041184820525
OmegaFold,Structure Prediction,33.0,2183.339865207672,310.0,7.043031823250555
OmegaFold,Structure Prediction,34.0,1998.9419372081757,277.0,7.216396885228071
OmegaFold,Structure Prediction,35.0,2045.416063785553,280.0,7.30505737066269
OmegaFold,Structure Prediction,36.0,1923.799637556076,263.0,7.3148275192246235
OmegaFold,Structure Prediction,37.0,1677.504152059555,224.0,7.488857821694443
OmegaFold,Structure Prediction,38.0,1519.5669384002686,199.0,7.636014765830495
OmegaFold,Structure Prediction,39.0,1904.8424799442291,250.0,7.619369919776917
OmegaFold,Structure Prediction,40.0,3140.747878074646,412.0,7.6231744613462284
OmegaFold,Structure Prediction,41.0,1972.1157748699188,252.0,7.825856249483805
OmegaFold,Structure Prediction,42.0,2133.2819397449493,268.0,7.960007237854288
OmegaFold,Structure Prediction,43.0,1916.6991076469421,241.0,7.953108330485237
OmegaFold,Structure Prediction,44.0,2724.7488963603973,350.0,7.784996846743993
OmegaFold,Structure Prediction,45.0,1945.8851342201233,250.0,7.783540536880493
OmegaFold,Structure Prediction,46.0,2200.0355513095856,278.0,7.913796947156783
OmegaFold,Structure Prediction,47.0,2008.5114574432373,253.0,7.938780464202519
OmegaFold,Structure Prediction,48.0,2005.1543765068054,250.0,8.020617506027222
OmegaFold,Structure Prediction,49.0,3028.5772824287415,354.0,8.55530305770831
OmegaFold,Structure Prediction,50.0,2303.7724964618683,271.0,8.501005521999513
OmegaFold,Structure Prediction,51.0,5078.026901721954,690.0,7.359459277857905
OmegaFold,Structure Prediction,52.0,8043.788116693497,922.0,8.724282122227219
OmegaFold,Structure Prediction,53.0,8838.823009967804,1043.0,8.474422828348805
OmegaFold,Structure Prediction,54.0,8509.409221887589,990.0,8.595362850391503
OmegaFold,Structure Prediction,55.0,8014.512004852295,921.0,8.701967431978606
OmegaFold,Structure Prediction,56.0,8733.139939069748,992.0,8.803568486965471
OmegaFold,Structure Prediction,57.0,9363.792445898056,973.0,9.623630468548876
OmegaFold,Structure Prediction,58.0,9904.019429922104,1014.0,9.767277544301878
OmegaFold,Structure Prediction,59.0,9234.424751758575,928.0,9.950888741119154
OmegaFold,Structure Prediction,60.0,8103.757696628571,804.0,10.079300617697227
OmegaFold,Structure Prediction,61.0,9672.69872879982,945.0,10.235660030476
OmegaFold,Structure Prediction,62.0,8710.957861185074,890.0,9.787593102455139
OmegaFold,Structure Prediction,63.0,8560.630652427673,860.0,9.954221688869387
OmegaFold,Structure Prediction,64.0,8953.092241287231,893.0,10.025859172774055
OmegaFold,Structure Prediction,65.0,11655.076184034348,983.0,11.856639047847759
OmegaFold,Structure Prediction,66.0,11174.063407182693,927.0,12.05400583299104
OmegaFold,Structure Prediction,67.0,13017.549631357193,1058.0,12.303922146840447
OmegaFold,Structure Prediction,68.0,12487.81240105629,1002.0,12.462886627800689
OmegaFold,Structure Prediction,69.0,11260.419384717941,912.0,12.346951079734584
OmegaFold,Structure Prediction,70.0,12331.336470127106,1002.0,12.306723024078948
OmegaFold,Structure Prediction,71.0,12154.942331552505,975.0,12.46660751954103
OmegaFold,Structure Prediction,72.0,14254.778416872025,1119.0,12.738854706766778
OmegaFold,Structure Prediction,73.0,12490.931145906448,894.0,13.97195877618171
OmegaFold,Structure Prediction,74.0,14159.37426519394,1000.0,14.15937426519394
OmegaFold,Structure Prediction,75.0,12349.29160451889,861.0,14.342963536026586
OmegaFold,Structure Prediction,76.0,14441.41254067421,1011.0,14.284285401260346
OmegaFold,Structure Prediction,77.0,15464.70206952095,1081.0,14.305922358483766
OmegaFold,Structure Prediction,78.0,13094.450150728226,904.0,14.485011228681666
OmegaFold,Structure Prediction,79.0,15668.447523355484,1067.0,14.684580621701485
OmegaFold,Structure Prediction,80.0,14107.614008426666,953.0,14.803372516712137
OmegaFold,Structure Prediction,81.0,14457.045788526535,904.0,15.99230728819307
OmegaFold,Structure Prediction,82.0,13178.971203804016,870.0,15.148242762993123
OmegaFold,Structure Prediction,83.0,13983.766768217087,918.0,15.232861403286586
OmegaFold,Structure Prediction,84.0,13583.435881137848,878.0,15.470883691500966
OmegaFold,Structure Prediction,85.0,12438.21158027649,833.0,14.93182662698258
OmegaFold,Structure Prediction,86.0,16176.434076309204,1075.0,15.047845652380655
OmegaFold,Structure Prediction,87.0,13748.754986047745,900.0,15.276394428941938
OmegaFold,Structure Prediction,88.0,16631.768723011017,1055.0,15.764709690057837
OmegaFold,Structure Prediction,89.0,12700.594760417938,752.0,16.889088777151514
OmegaFold,Structure Prediction,90.0,15275.20779466629,892.0,17.12467241554517
OmegaFold,Structure Prediction,91.0,15978.887769937515,921.0,17.349498121539103
OmegaFold,Structure Prediction,92.0,13204.03034567833,751.0,17.581931219278733
OmegaFold,Structure Prediction,93.0,16643.58116722107,974.0,17.08786567476496
OmegaFold,Structure Prediction,94.0,17916.259919166565,982.0,18.244663868805056
OmegaFold,Structure Prediction,95.0,15629.196418523788,843.0,18.539972026718612
OmegaFold,Structure Prediction,96.0,21789.259785413742,1169.0,18.63922992764221
OmegaFold,Structure Prediction,97.0,19187.44800710678,941.0,20.39048672381167
OmegaFold,Structure Prediction,98.0,20646.11404967308,991.0,20.833616599064662
OmegaFold,Structure Prediction,99.0,18733.221877098083,905.0,20.699692681876336
OmegaFold,Structure Prediction,100.0,18937.271282196045,1522.0,12.442359580943524
OmegaFold,Structure Prediction,101.0,22181.65689778328,1076.0,20.61492276745658
OmegaFold,Structure Prediction,102.0,30116.254084587097,1425.0,21.1342133926927
OmegaFold,Structure Prediction,103.0,31165.78274679184,1456.0,21.40507056785154
OmegaFold,Structure Prediction,104.0,25210.320708036423,1164.0,21.65835112374263
OmegaFold,Structure Prediction,105.0,30600.0793569088,1337.0,22.887119937852503
OmegaFold,Structure Prediction,106.0,26643.71113872528,1152.0,23.128221474587917
OmegaFold,Structure Prediction,107.0,29070.19572377205,1231.0,23.615106193153572
OmegaFold,Structure Prediction,108.0,30864.239897489548,1298.0,23.77830500577007
OmegaFold,Structure Prediction,109.0,28452.432745933533,1222.0,23.283496518767212
OmegaFold,Structure Prediction,110.0,29196.14933013916,1260.0,23.171547087412034
OmegaFold,Structure Prediction,111.0,28393.449516057968,1212.0,23.426938544602283
OmegaFold,Structure Prediction,112.0,33737.561876535416,1432.0,23.559749913781715
OmegaFold,Structure Prediction,113.0,30345.939539909363,1131.0,26.831069442890684
OmegaFold,Structure Prediction,114.0,36108.194922447205,1330.0,27.14901873868211
OmegaFold,Structure Prediction,115.0,37079.89129328728,1414.0,26.223402611942912
OmegaFold,Structure Prediction,116.0,33400.30093026161,1287.0,25.952059774873046
OmegaFold,Structure Prediction,117.0,29734.172867298126,1566.0,18.987338995720386
OmegaFold,Structure Prediction,118.0,32162.523710012436,1229.0,26.16966941416797
OmegaFold,Structure Prediction,119.0,36141.89734363556,1337.0,27.03208477459653
OmegaFold,Structure Prediction,120.0,40168.50237774849,1458.0,27.550413153462614
OmegaFold,Structure Prediction,121.0,25230.87192773819,906.0,27.848644511852306
OmegaFold,Structure Prediction,122.0,35745.1819255352,1274.0,28.05744264170738
OmegaFold,Structure Prediction,123.0,36621.8687107563,1269.0,28.85884059161253
OmegaFold,Structure Prediction,124.0,43343.58992648125,1376.0,31.499701981454393
OmegaFold,Structure Prediction,125.0,39816.26560354233,1314.0,30.301571996607557
OmegaFold,Structure Prediction,126.0,37881.91598343849,1331.0,28.461244164867388
OmegaFold,Structure Prediction,127.0,31546.707230567932,1062.0,29.704997392248522
OmegaFold,Structure Prediction,128.0,38550.96633577347,1316.0,29.294047367609018
OmegaFold,Structure Prediction,129.0,39980.83154511452,1145.0,34.917756807960274
OmegaFold,Structure Prediction,130.0,39233.23793387413,1140.0,34.41512099462643
OmegaFold,Structure Prediction,131.0,38658.11083340645,1123.0,34.42396334230316
OmegaFold,Structure Prediction,132.0,43759.937801361084,1180.0,37.084693052000915
OmegaFold,Structure Prediction,133.0,33420.943444013596,915.0,36.52562125028808
OmegaFold,Structure Prediction,134.0,39102.517822265625,1114.0,35.10100343111816
OmegaFold,Structure Prediction,135.0,38902.85064005852,1175.0,33.10880905536895
OmegaFold,Structure Prediction,136.0,33854.04842710495,1033.0,32.77255414046946
OmegaFold,Structure Prediction,137.0,38734.455864191055,1152.0,33.623659604332516
OmegaFold,Structure Prediction,138.0,35313.61263680458,1025.0,34.452305011516664
OmegaFold,Structure Prediction,139.0,34329.50627875328,915.0,37.51858609699812
OmegaFold,Structure Prediction,140.0,42257.734399318695,1144.0,36.93857902038347
OmegaFold,Structure Prediction,141.0,23412.821561813354,1072.0,21.840318621094546
OmegaFold,Structure Prediction,142.0,39082.26420664787,1119.0,34.92606274052535
OmegaFold,Structure Prediction,143.0,31165.365091323853,878.0,35.495860012897325
OmegaFold,Structure Prediction,144.0,33623.824208021164,968.0,34.735355586798725
OmegaFold,Structure Prediction,145.0,36810.93214702606,1023.0,35.98331588174591
OmegaFold,Structure Prediction,146.0,45747.28787899017,1179.0,38.80177088972873
OmegaFold,Structure Prediction,147.0,45001.67311048508,1138.0,39.54452821659497
OmegaFold,Structure Prediction,148.0,41508.45533490181,1112.0,37.327747603328966
OmegaFold,Structure Prediction,149.0,44639.97882771492,1182.0,37.766479549674216
OmegaFold,Structure Prediction,150.0,46516.42382788658,1137.0,40.91154250473754
OmegaFold,Structure Prediction,151.0,32477.385063171387,821.0,39.558325290099134
OmegaFold,Structure Prediction,152.0,35886.43163084984,909.0,39.479022696204446
OmegaFold,Structure Prediction,153.0,38513.630759477615,887.0,43.420102321846244
OmegaFold,Structure Prediction,154.0,34007.750886678696,764.0,44.51276294067892
OmegaFold,Structure Prediction,155.0,38553.552119493484,806.0,47.83319121525246
OmegaFold,Structure Prediction,156.0,37697.15286254883,781.0,48.267801360497856
OmegaFold,Structure Prediction,157.0,40674.03858137131,864.0,47.07643354325383
OmegaFold,Structure Prediction,158.0,36198.69845366478,788.0,45.937434585869006
OmegaFold,Structure Prediction,159.0,46049.571496248245,1004.0,45.86610706797634
OmegaFold,Structure Prediction,160.0,41043.430116176605,902.0,45.50269414210267
OmegaFold,Structure Prediction,161.0,43372.565577983856,881.0,49.23106195003843
OmegaFold,Structure Prediction,162.0,41636.382130384445,841.0,49.50818327037389
OmegaFold,Structure Prediction,163.0,38112.195907354355,769.0,49.56072289642959
OmegaFold,Structure Prediction,164.0,39577.24326515198,800.0,49.47155408143997
OmegaFold,Structure Prediction,165.0,48966.08866262436,925.0,52.93631206770201
OmegaFold,Structure Prediction,166.0,44240.04117870331,817.0,54.14937720771519
OmegaFold,Structure Prediction,167.0,40299.9158449173,778.0,51.79937769269576
OmegaFold,Structure Prediction,168.0,40645.93767237663,788.0,51.581139178142934
OmegaFold,Structure Prediction,169.0,37825.9066362381,727.0,52.030132924674135
OmegaFold,Structure Prediction,170.0,42320.47130393982,809.0,52.31207824961659
OmegaFold,Structure Prediction,171.0,49301.61089658737,924.0,53.35672174955343
OmegaFold,Structure Prediction,172.0,37552.269064188,715.0,52.520656033829376
OmegaFold,Structure Prediction,173.0,41112.752588033676,850.0,48.36794422121609
OmegaFold,Structure Prediction,174.0,39979.29588532448,825.0,48.459752588272096
OmegaFold,Structure Prediction,175.0,47644.57617688179,854.0,55.789901846465796
OmegaFold,Structure Prediction,176.0,48587.40116930008,877.0,55.40182573466372
OmegaFold,Structure Prediction,177.0,53892.406757354736,901.0,59.813991961547984
OmegaFold,Structure Prediction,178.0,55357.70750069618,955.0,57.96618586460333
OmegaFold,Structure Prediction,179.0,51345.03884649277,897.0,57.240845982712116
OmegaFold,Structure Prediction,180.0,50493.0047287941,834.0,60.5431711376428
OmegaFold,Structure Prediction,181.0,52839.06454253197,889.0,59.43651804559276
OmegaFold,Structure Prediction,182.0,51162.82891225815,848.0,60.33352466068178
OmegaFold,Structure Prediction,183.0,44971.244369745255,734.0,61.268725299380456
OmegaFold,Structure Prediction,184.0,53235.87434005737,834.0,63.83198362117191
OmegaFold,Structure Prediction,185.0,60440.023339509964,897.0,67.38018209532883
OmegaFold,Structure Prediction,186.0,64138.67888522148,995.0,64.4609838042427
OmegaFold,Structure Prediction,187.0,66056.14762926102,1047.0,63.0908764367345
OmegaFold,Structure Prediction,188.0,43080.15490889549,691.0,62.34465254543487
OmegaFold,Structure Prediction,189.0,59711.59182357788,891.0,67.01637690637249
OmegaFold,Structure Prediction,190.0,53195.02150630951,808.0,65.83542265632364
OmegaFold,Structure Prediction,191.0,55602.40725851059,849.0,65.49164576974157
OmegaFold,Structure Prediction,192.0,52120.21387767792,797.0,65.39550047387442
OmegaFold,Structure Prediction,193.0,62232.82700371742,906.0,68.68965452948943
OmegaFold,Structure Prediction,194.0,67665.94316887856,917.0,73.79055961709766
OmegaFold,Structure Prediction,195.0,48019.92120432854,665.0,72.21040782605795
OmegaFold,Structure Prediction,196.0,67044.58805990219,916.0,73.19278172478406
OmegaFold,Structure Prediction,197.0,54601.482431173325,746.0,73.19233569862376
OmegaFold,Structure Prediction,198.0,53672.75998234749,823.0,65.21599025801639
OmegaFold,Structure Prediction,199.0,48596.16704726219,681.0,71.36001034840262
OmegaFold,Structure Prediction,200.0,63811.22870731354,876.0,72.84386838734422
